용도,허가번호,업종,품목명,성분명(국문),성분명(영문),허가일,업체명
동물용의약품,002-045,제조,골든나이카브(GOLDEN NICARB),니카바진,Nicarbazine,1989-04-20,(주)우성양행
동물용의약품,002-046,제조,우성콜린250,염화코린,Choline chloride,1991-09-13,(주)우성양행
동물용의약품,002-047,제조,수산용훌로마이신(FLOMYCIN),옥시테트라싸이클린염산염,Oxytetracycline HCl,1992-02-18,(주)우성양행
동물용의약품,002-048,제조,수산용 훌록소린(FLOXORIN),옥소린산,Oxolinic acid,1992-02-18,(주)우성양행
동물용의약품,002-049,제조,수산용훌로설파에스디(FLOSULFA SD),설파디메톡신,Sulfadimethoxine,1992-02-18,(주)우성양행
동물용의약품,002-050,제조,골든-이씨(수산용),비타민 C/E,Vitamin C/E,1992-05-08,(주)우성양행
동물용의약품,002-051,제조,골든 맥스,나라신+나이카바진,Narasin+Nicarbazine,1992-07-02,(주)우성양행
동물용의약품,002-052,제조,골든펜다(GOLDEN FENDA),펜벤다졸,Fenbendazole,1992-08-27,(주)우성양행
동물용의약품,002-053,제조,티아39,티아물린,Tiamulin,1992-12-30,(주)우성양행
동물용의약품,002-054,제조,징크메치P,아연메치오닌,Zinc methionine,1993-04-27,(주)우성양행
동물용의약품,002-055,제조,GD-플루메퀸(수산용),플루메퀸,Flumequine,1993-04-27,(주)우성양행
동물용의약품,002-056,제조,나이아신-퍁,나이아신+지방분,Niacin+Fat powder,1994-01-24,(주)우성양행
동물용의약품,002-057,제조,카로락,기타영양공급약,Mineral supplemental preparations,1994-08-31,(주)우성양행
동물용의약품,002-058,제조,케로풀,비타민 E+베타카로틴,Vitamin E+Beta carotin,1994-08-31,(주)우성양행
동물용의약품,002-059,제조,쥬락톨(ZOO LACTOL),유산균화학처리물,Lactobacillus chemical products,1995-02-21,(주)우성양행
동물용의약품,002-060,제조,쥬락톨에프에이(ZOO LACTOL F.A.),유산균화학처리물,Lactobacillus chemical products,1995-06-03,(주)우성양행
동물용의약품,002-062,제조,카르니킹(수산용)(CARNIKING),카르니틴,Carnitine,1995-09-07,(주)우성양행
동물용의약품,002-063,제조,페니콜(수출용)(PENICOL),치암페니콜,Thiamphenicol,1995-11-16,(주)우성양행
동물용의약품,002-064,제조,옥시20(수출용),옥시테트라싸이클린4급암모늄염,Oxytetracycline quaterary ammonium salt,1996-07-26,(주)우성양행
동물용의약품,002-065,제조,네오클린,옥시테트라사이클린+네오마이신,Oxytetracycline+Neomycine,1996-07-26,(주)우성양행
동물용의약품,002-068,제조,설프림액(수출용),트리메토프림+설파메톡사졸,Trimethoprim+Sulfamethoxazole,1997-02-05,(주)우성양행
동물용의약품,002-069,제조,타이란믹스,타이로신,Tylosin,1997-02-05,(주)우성양행
동물용의약품,002-070,제조,살콕신(SALCOCIN),살리노마이신나트륨,Salinomysin sodium,1997-06-04,(주)우성양행
동물용의약품,002-071,제조,주문용배합사료첨가제,주문용사료첨가제,Custom,1997-06-28,(주)우성양행
동물용의약품,002-072,제조,파이포스(PHYPHOS),파이타제,Phytase,1998-07-23,(주)우성양행
동물용의약품,002-073,제조,라바사이드(LARVACIDE),사이로마진,Cyromazine,1999-04-09,(주)우성양행
동물용의약품,002-074,제조,스탭씨(수산용)(STAB-C),비타민 C,Vitamin C,1999-07-13,(주)우성양행
동물용의약품,002-075,제조,카로락-에프,기타영양공급약,Mineral supplemental preparations,1999-09-22,(주)우성양행
동물용의약품,002-076,제조,그로팩터(GROFACTOR),락토바실러스액시도필러스,Lactobacillus acidophillus,1999-10-29,(주)우성양행
동물용의약품,002-080,제조,목시린-200(Moxylin-200),아목시실린,Amoxicillin,2000-09-25,(주)우성양행
동물용의약품,002-081,제조,복합글루타(수산용),글루타치온+메치오닌,Glutathione+Methionine,2000-12-29,(주)우성양행
동물용의약품,002-084,제조,골든-씨에스피(수출용)(Golden-C.S.P),페니실린지프로카인+클로르테트라사이클린칼슘염+썰파치아졸,Procaine penicillin G+Chlortetracycline-ca+Sulfathiazole,2002-12-20,(주)우성양행
동물용의약품,002-085,제조,비스칸-바이오(Biscan-Bio),바실러스폴리퍼먼티쿠스,Bacillus polyfermenticus,2003-08-28,(주)우성양행
동물용의약품,002-086,제조,GD-로베니딘(GD-Robenidine),로베니딘,Robenidine,2003-09-18,(주)우성양행
동물용의약품,002-087,제조,골든-클로피돌(Golden-Clopidol),클로피돌,Clopidol,2003-10-28,(주)우성양행
동물용의약품,002-088,제조,GD암피실린,암피실린,Ampicillin,2004-04-01,(주)우성양행
동물용의약품,002-089,제조,지디-에리스로,에리스로마이신,Erythromycin,2005-07-15,(주)우성양행
동물용의약품,002-090,제조,GD세팔렉신(수산용),세팔렉신,Cephalexin,2005-08-29,(주)우성양행
동물용의약품,002-091,제조,GD네오마이신,네오마이신,Neomycin,2005-09-20,(주)우성양행
동물용의약품,002-093,제조,GD-독시(수산용),독시싸이클린,Doxycycline,2006-03-31,(주)우성양행
동물용의약품,002-094,제조,목시담-200,아목시실린,Amoxicillin,2007-01-03,(주)우성양행
동물용의약품,002-095,제조,목시열-200,아목시실린트리하이드레이트+아세타미노펜,Amoxicillin trihydrate+Acetaminophen,2008-01-03,(주)우성양행
동물용의약품,002-096,제조,GD-아목시300,아목시실린트리하이드레이트,Amoxycilline trihydrate,2008-08-14,(주)우성양행
동물용의약품,002-097,제조,파라멕틴 펠렛(Paramectin pellet),이버멕틴,Ivermectin,2009-12-16,(주)우성양행
동물용의약품,002-098,제조,지디 콴텔(GD-Quantel),프라지퀀텔,Praziquantel,2010-01-25,(주)우성양행
동물용의약품,002-099,제조,비타린칼 펠렛(Vita-Rinkal Pellet),비타민공급약,Vitamin supplemental preparations,1984-03-19,(주)우성양행
동물용의약품,002-100,제조,그로빅 젖소용-펠렛(GROBIG-DC PELLET),기타영양공급약,Mineral supplemental preparations,1987-01-07,(주)우성양행
동물용의약품,002-106,제조,골든 플로벳(Golden Flovet),플로르페니콜,Florfenicol,2013-05-24,(주)우성양행
동물용의약품,002-107,제조,우성 타이솔 500(Woosung Tysol 500),타이로신,Tylosin,2014-03-05,(주)우성양행
동물용의약품,002-108,제조,하이원 애드(High-one Add),멜렌게스트롤,Melengestrol,2014-03-21,(주)우성양행
동물용의약품,002-109,제조,하이원 펠렛(High-one pellet),멜렌게스트롤,Melengestrol,2014-03-21,(주)우성양행
동물용의약품,002-110,제조,오레오-T(AUREO-T),클로르테트라싸이클린염산염+티아물린,Chlortetracycline HCl+Tiamulin hydrogen fumarate,2014-07-17,(주)우성양행
동물용의약품,002-111,제조,베가-암피200(Vega-Ampi200),암피실린,Ampicillin,2014-12-03,(주)우성양행
동물용의약품,002-112,제조,골든 피린(Golden-Pyrin),아세틸살리실산+비타민C,Acetylsalicylic acid+Vitamin C,2015-10-23,(주)우성양행
동물용의약품,002-003,수입,폴리펜젝트 20(POLYPENJECT 20),아목시실린,Amoxicillin,1993-03-23,(주)삼동
동물용의약품,002-005,수입,네오펜젝트(NEOPENJECT),페니실린지프로카인+네오마이신,Penicillin G procaine+Neomycin sulfate,1993-03-23,(주)삼동
동물용의약품,002-019,수입,풀밀,아미노필린,Aminophylline,1993-04-02,(주)삼동
동물용의약품,002-020,수입,아피로이얄(API-ROYAL),기타영양공급약,"Others, Nutrition supplemental preparations",1993-04-02,(주)삼동
동물용의약품,002-021,수입,아스리퍼(ASTHRIPUR),요오드+아미노메탄설폰산,Iodine+Aminomethane sulfonic acid,1993-04-02,(주)삼동
동물용의약품,002-024,수입,비엠엘(B.M.L),어분가수분해물,Fish hydrolysate,1993-04-02,(주)삼동
동물용의약품,002-026,수입,비에스케이(B.S.K),바실러스서브틸리스,Bacillus subtillis,1993-04-02,(주)삼동
동물용의약품,002-027,수입,케자콜(CEJAKOL),설피린+구아이페네신+염화세륨+아미노산+요오드화칼륨+아르손산염,Sulpyrine+Guaiphensin+Cerium chloide+Amino acid+Potassium idodin,1993-04-02,(주)삼동
동물용의약품,002-028,수입,세조딜(CEJODYL-TERPEN),염화세륨+요오드화칼륨+아르손산염+터핀하이드레이트+메타미솔,Cerium+Potassium iodine+Sodium arsenate+Terpinhydrate+Metamisol,1993-04-02,(주)삼동
동물용의약품,002-029,수입,코리벳(CORYVET),펜타메틸렌테트라졸,Pentamethylenetetrazol,1993-04-02,(주)삼동
동물용의약품,002-030,수입,달빈(DALBEEN),카제인+메테나민+요오드살리실산+제2산화마그네슘,Casein+Methenamine+Iodosalicylic acid+Magnesiumdioxide,1993-04-02,(주)삼동
동물용의약품,002-031,수입,더미잘(DERMISAL),정제화황,Sulfur extracts,1993-04-02,(주)삼동
동물용의약품,002-032,수입,디톡실(DETOXYL),기타영양공급약,"Others, Nutrition supplemental preparations",1993-04-02,(주)삼동
동물용의약품,002-033,수입,도팔젝트(DOPHADALJECT),기타영양공급약,"Others, Nutrition supplemental preparations",1993-04-02,(주)삼동
동물용의약품,002-035,수입,루미잘(RUMISAL),넉스보미카추출물,Nux vomica extracts,1993-04-16,(주)삼동
동물용의약품,002-036,수입,신바이오틱(SINBIOTIK),기타영양공급약,Mineral supplemental preparations,1993-04-16,(주)삼동
동물용의약품,002-037,수입,산고스티프탈(Sangostyptal),하마멜리스+밀레폴륨+염화나트륨,Hamamelis+Millefolium+Sodium chloride,1993-04-16,(주)삼동
동물용의약품,002-038,수입,슈퍼라이자-퍼(SUPERLYSE-FER),어분가수분해물,Fish hydrolysate,1993-04-16,(주)삼동
동물용의약품,002-039,수입,테타누산 24%(TETANUSAN 24%),글루콘산 칼슘,Calcium gluconate,1993-04-16,(주)삼동
동물용의약품,002-040,수입,테타누산 50%(TETANUSAN 50%),글루콘산 칼슘,Calcium gluconate,1993-04-16,(주)삼동
동물용의약품,002-043,수입,마이크로펌엔자임(Microferm-Ⅱ with Enzyme),기타영양공급약,Mineral supplemental preparations,1993-04-16,(주)삼동
동물용의약품,002-044,수입,멀티비트(MULTIVIT-ORAL),기타영양공급약,Mineral supplemental preparations,1993-04-16,(주)삼동
동물용의약품,002-045,수입,네오콜렌틸(NEO-CHOLENTYL 0.1%),카르바콜,Carbacol,1993-04-16,(주)삼동
동물용의약품,002-046,수입,셉틸(HOMEOSEPTIL),쑥-벌독-금-두꺼비추출물,Abrotanum+Aurum+Apis+Bufo extracts,1993-04-17,(주)삼동
동물용의약품,002-048,수입,호미오캄(HOMEOCALM),구리푸로틴네이트,Copper proteinate,1993-04-17,(주)삼동
동물용의약품,002-051,수입,풀모벳(PULMOVET),아미노필린,Aminophylline,1993-04-16,(주)삼동
동물용의약품,002-053,수입,트라미비틴(TRAMIVITINE),기타영양공급약,"Others, Nutrition supplemental preparations",1993-05-14,(주)삼동
동물용의약품,002-054,수입,티에스오(T.S.O. SUSPENSION),트리메토프림+설파디아진,Trimethoprim+Sulfadiazine,1993-05-14,(주)삼동
동물용의약품,002-055,수입,비타란슈퍼(VITALAN-SUPER),비타민 A/D3/E,Vitamin A/D3/E,1993-05-14,(주)삼동
동물용의약품,002-056,수입,비톨젝트포르테(VITOL-JECTFORTFORTE),비타민+아미노산,Vitamin+Amino acid,1993-05-14,(주)삼동
동물용의약품,002-057,수입,보미잘(VOMISAL),토근,Ipecacuanha,1993-05-14,(주)삼동
동물용의약품,002-059,수입,헤파비틴(HEPAVINE),비타민+아미노산,Vitamin+Amino acid,1993-05-14,(주)삼동
동물용의약품,002-061,수입,조세키놀(JOCECHINOL),퀴놀린설폰산+염화세륨+요오드화칼륨,8-Hydroxy-7-iodo-quinidine sulfonic acid+Cerium++Potassium,1993-05-14,(주)삼동
동물용의약품,002-062,수입,요드퀴놀(JODQUINOL-CASEIN 5%),퀴놀린설폰산+카제인,8-Hydroxy-7-iodo-quinoline sulfonic acid+Casein,1993-05-14,(주)삼동
동물용의약품,002-063,수입,히트파우더(HEAT-POWDER),기타영양공급약,Mineral supplemental preparations,1993-05-14,(주)삼동
동물용의약품,002-064,수입,납토벳(LAPTOVET),기타영양공급약,"Others, Nutrition supplemental preparations",1993-05-14,(주)삼동
동물용의약품,002-067,수입,도파트림젝트(DOFATRIMJECT),트리메토프림+설파독신,Trimethoprim+Sulfadoxine,1993-05-14,(주)삼동
동물용의약품,002-068,수입,에이엘 365(AL-365),알루미늄살리실산염+설파구아니딘+탄닌산+사포닌,Aluminium salycylate+Sulfaguanidine+Tannic acid+Saponin,1993-05-24,(주)삼동
동물용의약품,002-069,수입,디센탈(DYSENTERAL),난백추출물+대황추출물+포도필룸추출물,Album+Rheum+Podophylum extracts,1993-07-21,(주)삼동
동물용의약품,002-071,수입,마밀(HOMEOMAMIL),쥐방울씨+승마+흑연+풀사틸라추출물,Aristolochia+Cimicifuga+Graphite+Pulsatilla extracts,1993-07-21,(주)삼동
동물용의약품,002-072,수입,헤파토솔루트(HEPATOSOLUTE),기타영양공급약,"Others, Nutrition supplemental preparations",1993-07-21,(주)삼동
동물용의약품,002-073,수입,콜리커버(COLI-CURB 1200),기타영양공급약,Mineral supplemental preparations,1993-12-15,(주)삼동
동물용의약품,002-074,수입,스팩트라이트(SPECTRALYTE),기타영양공급약,Mineral supplemental preparations,1993-12-15,(주)삼동
동물용의약품,002-076,수입,인스트레스(INSTRESS),기타영양공급약,Mineral supplemental preparations,1995-07-24,(주)삼동
동물용의약품,002-077,수입,바이오클로스트(BIOCOLOST-LIQUID-S),면역글로블린,Immunoglobulins,1997-05-10,(주)삼동
동물용의약품,002-078,수입,엔테로 펌(ENTEROFERM 35G),장내균,Enterococcus,1997-05-10,(주)삼동
동물용의약품,002-079,수입,슈이펌-겔(SUIFERM-LIQUID-GEL),장내균,Enterococcus,1997-05-10,(주)삼동
동물용의약품,002-084,수입,비타미네랄(DAIRY VITAMIN-TRACE MINERAL PREM),기타영양공급약,Mineral supplemental preparations,1999-04-30,(주)삼동
동물용의약품,002-085,수입,오라시드(ORACID),구연산+말릭산+인산,Citric acid+Malic acid+Phosphoric acid,1997-07-13,(주)삼동
동물용의약품,002-087,수입,비테졸(VITELSOL),기타영양공급약,Mineral supplemental preparations,2001-10-11,(주)삼동
동물용의약품,002-088,수입,비타미놀(VITAMINOL),기타영양공급약,Mineral supplemental preparations,2001-10-11,(주)삼동
동물용의약품,002-089,수입,엔자이트(ENZITE),전분분해효소+섬유소분해효소+글루카곤분해효소+지방분해효소,Amylase+Cellulase+Glucanase+Protease,2001-10-11,(주)삼동
동물용의약품,002-094,수입,펫비탈-덤켑(PETVITAL Derm-caps),기타영양공급약,Mineral supplemental preparations,2002-12-20,(주)삼동
동물용의약품,002-095,수입,펫비탈-아스로탑(PETVITAL Arthro-tab1),기타영양공급약,Mineral supplemental preparations,2002-12-20,(주)삼동
동물용의약품,002-097,수입,플로론 프리믹스(Floron premix),플로르페니콜,Florfenicol,2003-06-24,(주)삼동
동물용의약품,002-098,수입,플로론액(Floron oral solution),플로르페니콜,Florfenicol,2003-06-24,(주)삼동
동물용의약품,002-102,수입,수이페로비트,광물질공급약,Mineral supplemental preparations,2004-03-26,(주)삼동
동물용의약품,002-103,수입,수이감민,감마글로블린,Gammaglobulin,2004-04-12,(주)삼동
동물용의약품,002-106,수입,파우글로블린,감마글로블린,Gammaglobulin,2004-07-28,(주)삼동
동물용의약품,002-107,수입,비타콘,비타민 A/E,Vitamin A/E,2004-10-28,(주)삼동
동물용의약품,002-108,수입,수이글로빈,감마글로블린,Gammaglobulin,2005-03-15,(주)삼동
동물용의약품,002-109,수입,수이바이오퍼,덱스트란철+비타민 B12,Iron dextran+Vitamin B12,2005-03-15,(주)삼동
동물용의약품,002-110,수입,감마세린,감마글로블린,Gammaglobulin,2006-01-13,(주)삼동
동물용의약품,002-111,수입,보비글로빈,감마글로블린,Gammaglobulin,2006-04-28,(주)삼동
동물용의약품,002-113,수입,덱살론 주사(Dexalone solution),덱사메타손,Dexamethasone sodium phosphate,2002-04-24,(주)삼동
동물용의약품,002-114,수입,코파라이저(COFALYSOR),어분가수분해물,Fish hydrolysate,1993-10-24,(주)삼동
동물용의약품,002-115,수입,레마싸이클린L.A(Remacycline L.A.),옥시테트라싸이클린,Oxytetracycline,1998-06-30,(주)삼동
동물용의약품,003-005,제조,대한에이디3- 500,비타민 A/D3,Vitamin A/D3,1967-11-03,대한뉴팜(주)
동물용의약품,003-011,제조,소베탈 디.오.티30,디.오.티,D.O.T,1969-09-19,대한뉴팜(주)
동물용의약품,003-018,제조,메치아민50,메치오닌,DL-methionine,1970-09-07,대한뉴팜(주)
동물용의약품,003-026,제조,카우믹스(COW MIX),기타영양공급약,Mineral supplemental preparations,1973-05-03,대한뉴팜(주)
동물용의약품,003-037,제조,타후민,효모+파파인+황산코발트+메치오닌+전해질,Yeast+Papaine+Cobalt sulfate+Methionine+Electrolytes,1976-03-10,대한뉴팜(주)
동물용의약품,003-040,제조,대한라사로소디(DAEHAN LASARO SODI),라사로시드나트륨,Lasalocid sodium,1985-06-04,대한뉴팜(주)
동물용의약품,003-042,제조,고단백부록(PROTEIN BLOCK),기타영양공급약,Mineral supplemental preparations,1985-09-17,대한뉴팜(주)
동물용의약품,003-043,제조,대한트립토신(DAEHAN TRYPTOSIN),트립토판+라이신,Tryptophan+Lysin,1986-01-18,대한뉴팜(주)
동물용의약품,003-044,제조,대한트리판,트립토판,Tryptophan,1986-01-18,대한뉴팜(주)
동물용의약품,003-047,제조,오렌에스피250(AUREN S.P 250),페니실린지프로카인+클로르테트라싸이클린염산염+설파치아졸,Penicillin G procaine+Chlortetracyclin HCl+Sulfathiazole,1986-01-18,대한뉴팜(주)
동물용의약품,003-048,제조,버지마이신(수출용),버지니아마이신,Virginiamycin,1986-01-18,대한뉴팜(주)
동물용의약품,003-052,제조,라바자임(LABAZYME),연쇄상구균+간균+유산균,Streptococcus+Bacillus+Lactobacillus,1986-09-17,대한뉴팜(주)
동물용의약품,003-053,제조,볼록(POLOX),폴록사렌,Poloxalene,1986-09-30,대한뉴팜(주)
동물용의약품,003-054,제조,볼록믹스(POLOX MIX),폴록사렌,Poloxalene,1986-09-30,대한뉴팜(주)
동물용의약품,003-058,제조,멘다졸(멘다졸(수출용)),메벤다졸,Mebendazole,1987-12-18,대한뉴팜(주)
동물용의약품,003-059,제조,네오크로(수출용),옥시테트라싸이클린염산염+네오마이신+브롬헥신,Oxytetracycline HCl+Neomycin sulfate+Bromhexine HCl,1987-12-18,대한뉴팜(주)
동물용의약품,003-061,제조,대한엔라10(수출용)(DAEHAN ENRA 10),엔라마이신,Enramycin,1988-05-16,대한뉴팜(주)
동물용의약품,003-062,제조,대한마두라신,마두라마이신암모늄,Maduramycin ammonium,1988-05-16,대한뉴팜(주)
동물용의약품,003-066,제조,수산전용대한설파 500,설파디메톡신,Sulfadimethoxine,1988-10-14,대한뉴팜(주)
동물용의약품,003-067,제조,대한니카바진,니카바진,Nicarbazine,1989-02-10,대한뉴팜(주)
동물용의약품,003-068,제조,멀티블록,폴록사렌,Poloxalene,1989-02-10,대한뉴팜(주)
동물용의약품,003-069,제조,오렌T.P,페니실린지프로카인+클로르테트라싸이클린염산염+설파치아졸,Penicillin G procaine+Chlortetracyclin HCl+Sulfathiazole,1989-02-10,대한뉴팜(주)
동물용의약품,003-070,제조,타이골드(Ty-Gold),타이로신,Tylosin,1989-08-05,대한뉴팜(주)
동물용의약품,003-071,제조,오렌믹스(AUREONMIX),클로르테트라사이클린염산염,Chlortetracycline HCl,1990-09-22,대한뉴팜(주)
동물용의약품,003-072,제조,대한코린25,염화코린,Choline chloride,1991-06-19,대한뉴팜(주)
동물용의약품,003-073,제조,대한펜벤다졸8(수출용)(DAEHAN FENBENDAZOLE 8),펜벤다졸,Fenbendazole,1992-08-27,대한뉴팜(주)
동물용의약품,003-075,제조,대한바이오친100,비타민 H,Vitamin H,1993-12-16,대한뉴팜(주)
동물용의약품,003-076,제조,대한스테노롤(수출용)(DAEHAN STENOROL),할로푸지논,Halofuginone,1993-12-16,대한뉴팜(주)
동물용의약품,003-078,제조,바이오에스비-골드(BioSB-Gold),효모+간균,Saccharomyces+Bacillus subtillis,1995-07-31,대한뉴팜(주)
동물용의약품,003-079,제조,이스트셀(YEAST SEL),셀레늄이스트,Selenium yeast,1995-08-02,대한뉴팜(주)
동물용의약품,003-080,제조,살리노콕스(SALINOCOKS),살리노마이신나트륨,Salinomysin sodium,1996-07-19,대한뉴팜(주)
동물용의약품,003-081,제조,엔로삭신액(ENROXACIN ORAL),엔로플록사신,Enrofloxacin,1996-11-20,대한뉴팜(주)
동물용의약품,003-082,제조,바이오셀엔토코(BIO-SEL TOCO),비타민 E+셀레늄,Vitamin E+Selenium,1997-05-16,대한뉴팜(주)
동물용의약품,003-084,제조,주문용배합사료첨가제,주문용사료첨가제,Custom,1997-06-28,대한뉴팜(주)
동물용의약품,003-086,제조,아쿠아테라(AQUATERA),옥시테트라싸이클린염산염,Oxytetracycline HCl,1997-07-07,대한뉴팜(주)
동물용의약품,003-087,제조,세파레겐-비유기연고,세파렉신+겐타마이신,Cephalexin+Gentamicin,1997-12-15,대한뉴팜(주)
동물용의약품,003-088,제조,아쿠아헤파민(수산용)(AQUA HEPAMIN),감초+소담즙추출물+글루타치온+셀레늄이스트,Glycyrrhiza+Ox bile extract+Selenium yeast,1998-03-04,대한뉴팜(주)
동물용의약품,003-089,제조,동물용소금부록(ANIMAL SALT BLOCK),기타영양공급약,Mineral supplemental preparations,1998-04-10,대한뉴팜(주)
동물용의약품,003-090,제조,미네라본부록(MINERABON BLOCK),테트라클로르빈포스+광물질,Tetrachlorvinphos+Minerals,1998-07-04,대한뉴팜(주)
동물용의약품,003-091,제조,휘드밤버(수출용)(FEED BAMBER),밤버마이신,Bambermycin,1998-07-04,대한뉴팜(주)
동물용의약품,003-092,제조,미네랄부록(수출용)(MINERAL BLOCK),기타영양공급약,Mineral supplemental preparations,1998-11-11,대한뉴팜(주)
동물용의약품,003-093,제조,플루벤(FLUBEN),플루벤다졸,Flubendazole,1998-12-08,대한뉴팜(주)
동물용의약품,003-095,제조,플루벤-8(FLUBEN-8),플루벤다졸,Flubendazole,1999-04-26,대한뉴팜(주)
동물용의약품,003-096,제조,미네랄에스1-부록(MINERAL S1-BLOCK),기타영양공급약,Mineral supplemental preparations,1999-07-19,대한뉴팜(주)
동물용의약품,003-097,제조,미네랄에스2-부록(MINERAL S2-BLOCK),기타영양공급약,Mineral supplemental preparations,1999-07-19,대한뉴팜(주)
동물용의약품,003-098,제조,아쿠아비타핀(Aqua-Vitafin),비타민공급약,Vitamin supplemental preparations,1999-07-21,대한뉴팜(주)
동물용의약품,003-099,제조,아쿠아-달라신(AQUA-DALACIN),크린다마이신,Clindamycin,1999-08-10,대한뉴팜(주)
동물용의약품,003-100,제조,코팅엔로프록사신(COATED ENROFLOXACIN 99%),엔로플록사신,Enrofloxacin,1999-08-24,대한뉴팜(주)
동물용의약품,003-101,제조,대한 라바멸,사이로마진,Cyromazine,1999-09-11,대한뉴팜(주)
동물용의약품,003-104,제조,프레믹스솔트(PREMIX SALT),기타영양공급약,Mineral supplemental preparations,2000-06-21,대한뉴팜(주)
동물용의약품,003-106,제조,비타리치(Vita Rich),기타영양공급약,Mineral supplemental preparations,2000-08-28,대한뉴팜(주)
동물용의약품,003-107,제조,수산용바이오씨(BIO C),비타민 C,Vitamin C,2000-08-28,대한뉴팜(주)
동물용의약품,003-108,제조,응애멸(EUNGEMEUL),개미산,Formic acid,2000-10-05,대한뉴팜(주)
동물용의약품,003-109,제조,비프부록(BEEF BLOCK),기타영양공급약,Mineral supplemental preparations,2000-10-05,대한뉴팜(주)
동물용의약품,003-110,제조,아쿠아옥스-200(AQUA OX-200),옥소린산,Oxolinic acid,2000-11-16,대한뉴팜(주)
동물용의약품,003-111,제조,티엠10 주(수출용)(TM 10 INJ.),옥시테트라싸이클린염산염,Oxytetracycline HCl,2000-12-06,대한뉴팜(주)
동물용의약품,003-112,제조,티엠엘에이20%주(수출용)(TM LA20% INJ.),옥시테트라싸이클린,Oxytetracycline,2000-12-06,대한뉴팜(주)
동물용의약품,003-113,제조,엑셀주(수출용)(EX-CELL INJ.),세프티오퍼,Ceftiofur,2000-12-06,대한뉴팜(주)
동물용의약품,003-114,제조,알벤정(수출용)(ALBENJUNG),알벤다졸,Albendazole,2000-12-06,대한뉴팜(주)
